,Model,Metric,Score
433,XGBoost,F1_score,0.8349514563106797
434,XGBoost,F1_score,1.0
435,CatBoost,F1_score,0.888888888888889
436,CatBoost,F1_score,0.9904761904761905
437,CatBoost,F1_score,0.702127659574468
438,CatBoost,F1_score,0.8627450980392156
439,CatBoost,F1_score,1.0
440,Decision Tree,F1_score,0.888888888888889
441,Decision Tree,F1_score,0.9292929292929293
442,Decision Tree,F1_score,0.7551020408163266
443,Decision Tree,F1_score,0.8163265306122449
444,Decision Tree,F1_score,0.8760330578512397
445,Linear SVM,F1_score,0.7741935483870969
446,Linear SVM,F1_score,0.9607843137254902
447,Linear SVM,F1_score,0.64
448,Linear SVM,F1_score,0.9111111111111111
449,Linear SVM,F1_score,0.8793103448275862
450,DT-based Bagging,F1_score,0.9285714285714286
451,DT-based Bagging,F1_score,0.9607843137254902
452,DT-based Bagging,F1_score,0.702127659574468
453,DT-based Bagging,F1_score,0.8301886792452831
454,DT-based Bagging,F1_score,0.9904761904761905
455,RandomForest,F1_score,0.9534883720930233
456,RandomForest,F1_score,0.9607843137254902
457,RandomForest,F1_score,0.6875
458,RandomForest,F1_score,0.8301886792452831
459,RandomForest,F1_score,0.9904761904761905
460,AdaBoost,F1_score,0.9090909090909091
461,AdaBoost,F1_score,1.0
462,AdaBoost,F1_score,0.7096774193548386
463,AdaBoost,F1_score,0.8301886792452831
464,AdaBoost,F1_score,0.9904761904761905
465,GradientBoost,F1_score,1.0
466,GradientBoost,F1_score,1.0
467,GradientBoost,F1_score,0.702127659574468
468,GradientBoost,F1_score,0.8301886792452831
469,GradientBoost,F1_score,1.0
470,XGBoost,F1_score,0.9411764705882353
471,XGBoost,F1_score,0.9807692307692307
472,XGBoost,F1_score,0.6881720430107527
473,XGBoost,F1_score,0.8349514563106797
474,XGBoost,F1_score,1.0
475,CatBoost,F1_score,0.888888888888889
476,CatBoost,F1_score,0.9904761904761905
477,CatBoost,F1_score,0.702127659574468
478,CatBoost,F1_score,0.8627450980392156
479,CatBoost,F1_score,1.0
